official_index,displacement_pixels,direction,transformed_rgb_sha256
419,32,left,c55829a25172c05029c1f7ea2f0a56fec30f4b7ae0a46b0bf6a39b31c62303ea
449,32,left,f58c4b86e4985cc4fab87b3d598b44b1db3cf0c856c89814305a72a4a29cc21c
470,32,left,d266913c4939d2ced53635ec25e9686b0fcdb090ddc55b7a7758a5e170284a4a
483,32,left,f8444b5e1f7a794e7d017006ab08f20b60ea9ec17dbde54e36466ebe657ef564
484,32,left,5acd36f7859b3a8e7a0c1ef95b4ebd2172ab62495e89fd3d250af5d86d79f40f
506,32,left,43165dac1d7bf8e09ccbf755df9d93e2fa26990fe01a70d9d605f2e9ae404284
545,32,left,4d9ad52158dc0cb558e2f5301c84a71caba84b1a6c2ed04b61aae611bbf2bad6
562,32,left,5b57ddbb49fcbdaba291942f97a4d66a74aa35eba47d8a82c73c0643ca60e964
568,32,left,30c34f60c55d4df9f72937e27f246220d3c478c810e792bdb61a4fd21ed7a30b
603,32,left,469a885e3e7e17ec24e02bfcbf97fd051d033625cba54ea58fbf568545aa214b
632,32,left,84806130b58ffcc429d6477eaf6a3f40da9eb6cbaf9f76181d7a4d61a662e5f4
645,32,left,75a6d294274d3828358f0eb0e0a9a828d06bc5cf5a3a66fd029c49963654efa0
667,32,left,0158dc22199593c9c022b88be786477b97bede8bdab1514f9cc1ae7ab0b673fa
672,32,left,5723d6f7c592e4005f6e14c797dd479eacee08a48b6faacba83260d2140c62ec
677,32,left,632a74c84f243399aa5189e852cbe287fcd6e9906f6482686ffe12498f05332f
685,32,left,509ce7957869d9cfd6c61b675c06e9802ce48a25e1a67d7bb251a75b03f647dd
691,32,left,ba340e3943a8078969262a7a4102d613c80a1fb7063231d753d1473b47e0647e
706,32,left,decef5a8e94a5806c440ae83352a4fa0c5c141281ecedfd82535b0c809262ca4
714,32,left,de985ac41341918dc40467f8bf7a893b6ebb34dda00f44dcaf5fe7f18dea23bb
716,32,left,08b7a8be630f7d9913f361979fbdfbf50940a52673c516bbf30af95a72572650
738,32,left,42c20cdfcdb28331420052d3790afa5cee2df02f00b1b557d7a2edd4f08de899
739,32,left,0fe8c29d167540bee972dc564fe4f191cc40405b35f30163243b9d0f9b0213ab
766,32,left,d38d000f3eed8a50e31b89962eee7e7c7a17bbece18d9557a817c3fd570d7cda
791,32,left,c80c2b3ebebae3d00a6bb05031741701fe5e4ff124b074e1f95a1296ecb8c252
805,32,left,099927a5c94ca0bde340bb34e2548a63726fd4c8fea97049125d0a94c910d6d1
825,32,left,5052a2cea1fb7dcdb0841cd078f3e978ce285508d5fc9326772c854ca8923c4c
852,32,left,381eb3d735d0149ea80703379aecb075877fa2e2c01448cf3889e274af6a5d6f
855,32,left,e18b79c8da2adcf17a3564bd6a12509b62c43ae384c315a79d288fc3b29ee7de
873,32,left,97e9300830b5c47e13bdfc9b4ed75c8610d8551f0241482d800dd1a2e2d8412f
890,32,left,0d10a14d4afa6753255cda79f15b0628ccbbb93605ea8d61cfe35f16df9e24cf
920,32,left,ff24fa9694d59f90b7ec0c01d7941fceccdf3381b86699db4dfc6f52e84a56ef
929,32,left,fecbea25e6291d932e93ca307f2202e14739a2ea23716ac4b44cde9ac2fc9e28
962,32,left,6ba21a6183df37188f0329c112aaaa7f6a54bab19af00d36783e1d1e7e6cb093
964,32,left,18bdf11a475c135f56794d29730e01752bf9cd986ece8ac7473ccbc27c63cc3f
977,32,left,8a9407f97f65275266dc1c52b181d38fade9e4d20db219ef3c8c358b1f7781c4
979,32,left,31d10c85b29912f8e75f3ac0933dec416d9f465a74fa4085383de69cf5fa786e
981,32,left,a5b984cf58e0be759228b4f42a166cf7f49b3c72a74b5a94fb680ea19c7c25f7
1022,32,left,8db666caed8b2572732e4556b9336a919a3be3f0908ab91a4827f53f6039053a
1032,32,left,032801336e43241c1c4dad7de2910f55bda7fec2a4b786bdd0636e3f5fa289c7
1048,32,left,38a2dcf850bd4902741ee4d77b2de784914328d6e5392ccf63e8f6c7a2ef0db5
1090,32,left,1e051b2ceaf4ef3eae9f0a68fd313043eeff445dbd6dea73e0ce97755afa11f7
1095,32,left,de290bb1c7c74a0506bd729cdfa5a451416b6b76ba152498ae534a550253cbd5
1109,32,left,b8afecf6b68dad4001dad088c4ad0325c42fca3bc91fb36140876f8d7ba1c5cb
1111,32,left,2be8242bd85eccdb88d7f38fe1c4afe68d2910d9c8f07f2e78d10b4949edbdef
1115,32,left,c414da692248bf19958ad673964383b174d31759beac657633642f7b646a8c5e
1124,32,left,2c3d004b285a7fa20621e4eeb0652d97f73cebe7c8208d81a4440e7dfc31a1fb
1129,32,left,f85b0637c1d961f2dcdc4251d7a0e8a0010f46a68da843af25951817627a5a84
1175,32,left,3e4f278e11c480192261ea77c2881bf56d5fc6047a4be221b6166b1d9b4bbf0e
1202,32,left,81a19d7e0601da7fcb9eb3a310628c75f146bc749f081124af99a79bbd2e21e8
1204,32,left,a00c5aa01b3387d4ab129942b031d05413976dab1ef16bb11e079cc838161927
1211,32,left,eb4e3c7512a85067d98d8f4c6744e1d2123c3027a8d0051a094d0de5af60617a
1220,32,left,7e8648fff7ee12ea279c04faa3b8eeaa810f815a5d211df23d2fa0431612e5b3
1230,32,left,3c310ad50ca585adf1077a3fd552d47f18e2b4c92b19694db08bd04cc1f08b47
1247,32,left,2964bdaccb051fb795eaf7d4847dff0c67e2e743ba5f3c32196838929276c383
1263,32,left,21c78df8ff6fb81d4cc8964a9b9a89d66245f89afd1cedb795929f08bc65daea
1266,32,left,002bd4b2e23be936f1c990cc83d84dc465d169931dbc1f27adcf919f4f63e82d
1287,32,left,f2da08d345f2a12471154624122e9b605a00cb0ac46dbe600ac39e9134ee754a
1296,32,left,657483785df233f2b69cb3e551cb6f0b554bbe56a955d7a18435e06e51e242c8
1370,32,left,48bf8a797951a6b159afeb449da616ae75132ffbe2ff2e7903d941d96b96d2e8
1389,32,left,f5f04fe0198b50ab5e9fb3fb07c6827b4a340292977ce1b1fd62740ac20c9666
1401,32,left,4d2435b6e1f4d53ba8f8395387081575d269aab08cdfdedecf3f1c927d0959ff
1403,32,left,44974530ca9b9aa26d584121a32681bfcd1a7c32fc65ab4e84ba96382e51d216
1411,32,left,5d045b25bbe0239cad243f49ed26d51930c6cdd282ac02ca875369b45c5c1019
1429,32,left,fcfc716112fb2a297c97224921dc50b812dde351947bdc56f248d4e489554fe0
1430,32,left,e3be14cbf0d389c6aca11d8b707f656efd91deaeadeec9b3e584fbb1295f4947
1431,32,left,ef0b22e68a85b80832f0310723edabedf3e59fdcb57846e53813e79e5df8454c
1436,32,left,907ad7fc60c767c1d1e4f59a67a1d5c5bff07b12316f953606f85d834ac68d7a
1440,32,left,6cb2ef13b968dc44b7c263993c9f3b5106fb2036e2d34052c1fe6009ddba8f35
1468,32,left,e9387fba14d6ba34dff7616c3e94b20cfd83431f042876b323b42833f78396b2
1473,32,left,dcf5bfa3b1298e6291df53f63f273dc664a0464989270eca108c4cea74f899e0
1515,32,left,415837b11bd0877e7f07a3635ba75c48bb66b46cd6a7efe1ed6b14ca9fae380f
1520,32,left,e0cb5720066171063c28893e67f26ee76ee356c2a0fef4f123f4da727ab87ba0
1531,32,left,538682a49f3a95ae76dac7b8781d9508ed030a41e50734d3bf7dfcb0c997f698
1534,32,left,7fcb158b158dde18b8ae59ff357fd1d65571eaf781ccd7a7eae44e54a734d370
1552,32,left,c65e0346750d67ce500cecbb1bfef3951e7f3a37ea30875aab3f5577160085a3
1553,32,left,94d54ba69b9f9566e07696550fc13f37634867e457a786ca6fe044a5647862f3
1563,32,left,4e28ba04b2b830e1585de5e58c42d3fbe7b9ec7b304c39feb2640d3eb0ed88c9
1568,32,left,f940081fdf6e19fb46100a11ed9a61d2bcf272c13bb3dbf738356c25292eda61
1579,32,left,c7ece5a4c8a4ee5fe34487273221f3758eeb3a0313df59d8541ccba5c3c1a958
1586,32,left,47df7e0c9250089147374457ab5bc57bf5e062bc61f4d049354ac935a36a1618
1596,32,left,b3bd98bcf85f67f6243b2cab79f3c1cf3dcf9a84aeeeb311e992515bf2d4718d
1626,32,left,678685bd7695b32a19bdf3a75a3bb365f177dd1d9ec06e0df7d39c442ece636a
1640,32,left,7e0b336553776c7ec185f6e9cdb8f0d81d7a6453f2d83e88abb8fd5d03657f1f
1644,32,left,384eb00fa1029179ebbd1449a675fc3f5cf062a01f02ae7243d54355dff162af
1648,32,left,7f755b6356ef096d00254cbcd1432142fc00a4e6e26f4038096d6ac83c0b7464
1654,32,left,00e2f7bb3a59e91fa386d09d2d5db2d9e4556fe499a1baa93c27bd79f14be857
1667,32,left,939385a1002f9c661b2ca01742c69765332e24e112186aa85a0dcbbb416b95c5
1703,32,left,cb76b4d5b998485b0fa757532b989d67db48d58f61460af2c96199785198131b
1711,32,left,673c4974c3db271e79f4be7dc530bca0abef84eaf3b1d84e01c1b914ebbdfc87
1771,32,left,c927d1de67a1f0b1675d6934889095e8f2b23bf64644ad311c6583380d49597f
1783,32,left,a96699e44d78f5b625fc9438e79fe8fc5095422e1224096e6b2f0239b14a2992
1814,32,left,ecb0f73fd094785c52a1694291559a41fbeec2f2eb71742d67a49a1350cf82da
1833,32,left,e2cd32f29dba2e25847e55336988c8c77e97a97b8f6e8a4cd3987027214f3084
1836,32,left,7559119f108edfd7f1a50256813e262483a885193128bbdc437156f05dcdaa65
1839,32,left,743d65beba93f5b40c832d1189382681ace17411b7b19f0e83ad33bae6b64179
1852,32,left,a2c7a55c534cc7a88acf5b6712833dde02825602bb2b09ef369dc5076e07c8ae
1871,32,left,841b8c6e255fc1b3586218be6f47d61c02954cf1d68281af026cf0f3d0de9aed
1877,32,left,65ec43013fdeed2af53e6b7e244dfcc2a90388c3e29d4dc9cc15b43938acbe5f
1884,32,left,961251fdc799c484d969f750d9ee3d6c101c8717c54c264933ed36fa25f14743
1927,32,left,08373b9501fdec718a344d55ef3da4821d28967755d4c849af451080c3933ef4
1954,32,left,8a908e15cf317fda1652580e0fe0380dde77169a21726eecb50a4e3a427561c4
1956,32,left,470150a2a7eab0e98e0cb9585bf3898018387bd7f1e55f89553f46abc60f7832
1960,32,left,190a4407d7cd0bb6d639e0b132f1e78ed6420e5f26be80ba9825c66ebfd7b3ea
1977,32,left,094588a9b4c823a2cd6858c24c4fd10dcd42f6b7e384e7d478832d0d227315cf
1986,32,left,97e106144689dc776404adc358a0e12ddfbdeddcaf79deb9844b01d04af535b3
1993,32,left,d85c4d49276741eaa96ac0aa6658dc4c63a1cfc87b8b4cde1363e49a798eb8df
2003,32,left,884762743b1e0cb6f3fe90d1deb307531ad6a4b396e31685b29e714e13025e06
2011,32,left,c60b281a8a67fc0b6c9c2677d1dbef05678183c41731a766f865d3f4e0e0fec2
2024,32,left,93ff1aae8683d9097e3626167a87d2fcebea40625b004f13edcfa7ece06703ac
2028,32,left,62ffea9122763ee9ac51a4373f89e4e260483ed0ac93746f517fca3d74049c60
2062,32,left,a64264a44b1769837e584f8779a78c587e3b567f4ced938078be3ac6a4f5eb21
2070,32,left,2e3654a25c3a05089417edd8cc8e55f98b8549fc5099778eef1ff9e5e735cbc4
2082,32,left,53f205ed411593b781f6d3bf007b136e16facbb5d490fe6ecc7e6949d47a98f2
2095,32,left,5d2c72edd1d109b60452bf0f9871d10948e3b359648f8b7488eae675b521bcfc
2109,32,left,c0fe8767a2af6dce592aaf3aee1d478048d92f6f3340897e455fdcc2b11f16ad
2114,32,left,49572e8910fb8029657ab8afd4ce85a0262f6b9b644633051df9f712c09b7c48
2116,32,left,1f5234bf6abb3f57cefa468778a739ce19cfe7cab0cd6d4c490603ce658db016
2157,32,left,efe78ddc825aece7deae08c32c025832f0768860c2dc7e7bb1f7b50822612634
2167,32,left,13db1935a010357846113d4001f5394ca6e204079327ebd510fa88d8b29cae11
2178,32,left,cc1b7834223b6a350b7a4f177663b49adc003903631e8456c2087635fafa431d
2191,32,left,baf8b1fc48c7b9dcf6c717cd6da1468c9e7f36dc7e22db9fd9dc6cc71a6cd9e8
2230,32,left,b07b926293d0f015f9846962c04c1d950d95155a6c708c29bc73c93cb5c4aa7a
2242,32,left,fc2ec25d97df9cd1b2c3595b1a4e2c60dd1efdde552417f306c8c6b6281b2956
2265,32,left,6995e0e1edb28019a6c4699965ba908196715be49d88ec25d3119ac4df203820
2268,32,left,374328df5e59ab36b6f5b35d9d033846f2affaaac9125b9f8b3f2ec5224c37f5
2291,32,left,eb301d87145a9f9776636c9d5c3905f7ea896a65f32b1ac256113e9bc225a7ec
2334,32,left,16a09e295d30cc547a9f090c42142f8dc5d581338685294995cbe3ed5c6814e3
2340,32,left,aff803bb23bebab88c56506c990b0350ce9098419657b9101bc16faa6fd078c9
2342,32,left,4bcd8455837fd4285dd50cd369245a0ca4243ea4c29c259bbb435d8b38c68cff
2351,32,left,5e219dfa52176b9586fb4ee4bd0956b67b5afc1050ebd203e3b1aee51ee9aba9
2391,32,left,249664760139ac52b7004687dd5ecdea3b36e8b002af404fe6a7cefce03db576
2392,32,left,608ea2e2ff3774e7d9c581f1fff43b685ce3cc90bc21f797644db95ce9de0f82
2399,32,left,76a8e609256668489d655ec5e15605f312ee899ae2f0bfbb582981c17e57c6fc
2414,32,left,c069d636ece9adc5a8731c5350271c95e2fcf7fe2a8d5d81f63722a9bdf98341
2427,32,left,7fe71e539e65b4a35d14044677044630094e916f45eb6f22ef65182ec9ca8d76
2458,32,left,9c10abd9a7359942ded603960b5e2f7fe3659831e5eedf96e678f2da973e78f0
2501,32,left,defbe288c036280c15ac2c813d8a0b262336042c53c9b1addc646e904ba4d6e6
2502,32,left,c52b31aa16535b09d158e8d61addcd94e04fff6787e98218dab472738646a606
2536,32,left,b05b4f7dfaf1472b7f868f70a337b62f2dbbd38bb385da2971ff3cf5b6689572
2539,32,left,2cb15e04b888074de476f644633ba4ac2e9070fcd1593bc49ff1157183a72cac
2610,32,left,ac6bf8089664aa776033779440c4e38e59be16005c3e95d8334ed811f513e085
2623,32,left,830860c8cd4f5ff0ba46d7dcf75859fc600ceff2f89f136542bf8918abb06d93
2655,32,left,0ed7acc2768eb9d45c219b9e8e16d994990979b3c916c78264a23ecb4215289a
2668,32,left,effc27ed942d247928043344e27d2a7e8e53b59e7e7f8a66077d9d9c48b82b9d
2676,32,left,b0f26645c091bc9e8193f009e6bca9aaa9fa5177cf4e94b90791da415b11f971
2687,32,left,2d7f2597404a2d001e5b572646921a24bc43afc5fca5ec6c2deb02dc1b9139d6
2690,32,left,37e6ae6b5a912e6d42497569dbdb45c3b6903564943ec4949f66abcffdbc79d7
2704,32,left,a8c199882ff8f076541bacf129a953ccc3aefb1672a08bcbc16ab112bc182a6e
2745,32,left,065212736a863a8287eba5cb092f0efc72006f7be9585386e084e2c52e2d40ca
2746,32,left,b5ca2687dda5c32752ac56f756063b1b44056962d5c147da0e2a6b0ba6e1bcc4
2750,32,left,1931857bdfdec84c7529d318040ddb8b6a9f54c57a67bb79381593bd8538ace4
2754,32,left,03f869d34fb40937fcdd03dce9bc29a3e5db08fa6c6cbb41b2e9004e24fb244f
2757,32,left,1fb2fc45238772839b47291087f015d5c109d01bcbd1ef5e67b6364c3d9b461b
2766,32,left,bd17db08fcde8a1e2d4ab45fc69dca666ca313d8580cbf085f7cfd2cf2271d74
2807,32,left,234cd69700651c1bc6ba4ef38175e56c97fccb5660a169d217c64aae6371597d
2844,32,left,fd7c0a49e1d2067a47c8f5c1127ed206d63cdc276e713e411da0eef52534a771
2854,32,left,cf300d31ffb6caa4f38dbbfbb281a589a9982deb7f3f17dffdb1c87e4450f48a
2861,32,left,2672ccb67c8e1b3d9f79a2360df09fd3e15339a3d632976f0df290175d3466aa
2888,32,left,db5e4281296f22105dd8d0341833d8dc878e59aba42c489eb770aaadb5a8afc0
2898,32,left,d8432299f8335c3d476264c518a4fe5c1761a75bd772e329a8d42e7bc2bdb62b
2950,32,left,29802f377c7d0637b8a86eeb1726b3c6a83a734f864c560562b2a373d8085e04
2958,32,left,69feca7340b9c0fa34456b9570cba0f6f60a88d352b540a94568085ea349e0be
3015,32,left,f2ab295e8b5bd20fb30b73aaac4fdb196a4e2193d1c8a6ea21e840f370492b02
3024,32,left,fc26498219b84f8e7734e1b9784a3fc9a639c12a405e14a5234e86116a6814b3
3025,32,left,ce100be710e880b74034941a97637ac869da0992df1ddb759208c2995acd3012
3034,32,left,b6f85265d1ede9932156ede6c69bcb14fffd8f935f6a62571510c3f8a7b94b51
3067,32,left,7824c26fa24309c8a30955c2be2ff0c4426cd88807c76773923ff7f368889000
3078,32,left,50273b7bde1fe353c810bef25d4ad356e874154345322f12151c90a99d5f37ae
3079,32,left,091ccee3d19277c3b6254bc51495d79c194fe6a4c709654df2b0738596075149
3083,32,left,f6750c30a43c850218d55968508de59cbf240d166f2659176b7814f11df0f74d
3122,32,left,00349c77aa300b0b4f4c4a9809152451af174679fb28add91351c00fa9929812
3153,32,left,f60fd976bb7e62750eb5ea81417f385107998930b54a3b488d1f35c833f6a37c
3157,32,left,33b0f1b94c9034b9d83e02f96d0b989142d130686ea51c010caf02d41eb66ba5
3163,32,left,93fab8b5a8c52600591e4c18cf69593c811f2616ba2683305bb962e97ba57c07
3179,32,left,9984239a21feb9698e3d12b825178e941db8cc92500a0b186317b91f28e8f15c
3191,32,left,0af51e4f0b620fa086bbcf0c4ce9775a43b5571b7d18863b9293cd50ce643042
3276,32,left,cba004c5bd037da3491c1e084adc82b2cfff694dfbd2e7badfcffc12fc1cfb81
3287,32,left,90e754a783e56657e97e89f6f3e919cccb0204e12766f175f7f1a106bd7e32c2
3288,32,left,068800a0a9fd6061b17de64099c8fd87dbd691a5778fc36e0fd5f3df77ccb755
3292,32,left,61bf16bb693572260db85183cd74aeb8a45bbd8d697d576606766ec773b878ba
3318,32,left,c7c0c0a637ffca777c12c1c70b9db2a4563c75eb6af372b48030c52cf541a652
3347,32,left,074b338184f6565425c857c1a5d37c5b272979b6bfc841d80036e4188bf223b7
3353,32,left,e6cb718550176bbdb0033d933e80801062ed7fa18065b4d647b8187f3a8edeed
3362,32,left,f4c18b1329cb4fe1512088c68930a39a91be4eb65f3ec454c26b971df44547f4
3365,32,left,fa7df151625a2d22c34320170f3b3cbad65b51f6ccbd9fb8ff411d11663acbe3
3375,32,left,b48d535e1ff1ccc2942fa26b5c5cb3f824dda8ab3d1e8556ce50ddef5b277240
3383,32,left,d4658116909ecc6a73a1a171ee6d8eb2c1a640fdad2b648ad207d637efd3182e
3404,32,left,49b687addc0dcaf99ef8dad42f6c56678904c970adacbbe731d1fca609e9d7cb
3412,32,left,87fee5a3525fbe1e75dc2039e176dc2d78c27247ceaff63a45dd9a6f9c4bb3f4
3413,32,left,2fd841099993cc0ee28e5886b031165ae37c80cbc36ff978f65540fd6a063a96
3418,32,left,d2c542d6d18e759cce5b607b127399b1485c9e38095b9e477b8b90db11ed12a6
3437,32,left,d22a6d627d5f1b9f98ede7471a3f3048d083c217b02e8c50be84720a43c51fcb
3446,32,left,2063ddb385b072c08b7fccd9aecc54939c5b65d355f171f550b382f79a02f3e5
3454,32,left,5b5e6ad3c207108f6ae8e066641fc55b023fc7f0f5054a4e604feec59464609c
3455,32,left,2c76b7dd667f1685e3368810f1d2844bb61df7e9f7e4f88782ebf075e5da7840
3458,32,left,9ef7e70d5228f65a92dfe2182d3b901ff2c6d3cfc295a50e740816b25d1fbb60
3467,32,left,9483fda4ab7c90c0bde1293ddb4e1a65b5281c61f64ba599bf8f6db1a2506953
3491,32,left,8a83c3ebc5a0ee488050a74772954ce73e806644ad9c8b270e712f4956cda0c0
3494,32,left,e0b6a135dd6a9bc770a9cef26edcd47fd496c4b8fadacc036a2d743af7b98b9c
3512,32,left,f19c80e57e47a8b0a315346fd93e6fff3d4ad59a2c14699af577729d76316283
3515,32,left,6e9d79e979d216f04b5d635252c0eeda93a91e2e52fca4fb855bafe8d87d5337
3542,32,left,a13f7a4d8d1aa1de6ecbeeeecd3738adc8737de7b1d2a6ae52d966114d8fa1a8
3550,32,left,36f0bf98b4ed46fa45ab291d6971c38c39014a8d4b61ca34fe08a4ee02dd023b
3562,32,left,2c1d8d44c800d0019d7e24c753eb09266701df1d907d3051bd002abb018029d9
3755,32,left,3a10ae89903cb5407433e6dc36cfd509c8b93ed5cd5f5560ec2748edd1829f3d
3763,32,left,d41344406ebb0ee13d5d907bf154d5504fc6b204c7ea9f1c3352522a7b2c8a44
3777,32,left,aa180b811d7861a66f8e4582672681c878c8a94588d91ef715a913988db8f9d1
3778,32,left,aac67ee6c9b44b7625aff8da23cb242507ad538213e396eccfa98432ecd4efed
3779,32,left,84f0760a5b509921c392de7b77fc086023f924667396f37b8220214a7ce45828
3844,32,left,cf489123ab165ad04b2b6185f5cec40c08c554b75315a083204eb52264613885
3851,32,left,d89fa0aadf2e8b6915de26f761ecdc716d88fb7367133b7f1967e146f91605a0
3852,32,left,8b9ca7c89fedf5e2c6fcd6177eb1a512d6d11a7f57b2551a04ccaf354cf6f108
3863,32,left,4543d3e5f9640d8fb41313228968e4c69752c4370fafe54ede463fb87b74c30c
3867,32,left,acf3a2e6590fa016f63c55cc99f5d55517fb5690e5e197d6bef5b568eb7f91ca
3876,32,left,12614b0e1313fea881005cf9214dc06efaab8555bc034e988ead4e5879ce414a
3889,32,left,b3d82014ddb5d8b2e30c9398845b2c79e1416f9af71ef47245195a3c70035e4b
3891,32,left,43ce16a30a1d51f14c40861247a992555cc3b40c7ef65037ca2e2aaae85c9bb1
3893,32,left,1367158732c545b30719b1e0e4e0a1188426a9202ab925ef4fc15d24abfa082b
3905,32,left,d6916d7799f9d240298e6657fd2e425a4a1118f1cfecb5a697b6316ac60e2828
3914,32,left,c4ec094e4c40bd91a3e929d6e78c3e8a77bb214622f8969a14ef758e2469d304
3937,32,left,8975b9de9e20db87425a212f2d2bc286d08ea93d640b717ac5984e58a3104a60
3942,32,left,7c4e855a720becae0dacbd66705f80aebe0475593e99924dca2d85eae50a7d7e
3948,32,left,75c7634d1823f2ece4dffa11653172213e1a4b40d23fa2c121281d15329052e3
3962,32,left,b53df3d9e620603650b294f092e19b15913572f96a50a9573122d48bf51f949f
3965,32,left,7584fbd27c4b0c048c21a1189455cf9aa9ac8ea0ada07495fb335584fe854573
3994,32,left,0d817f235d58e1201ec696907270255ff35e3b2eba8cfc6fc449ffb826d1c4e6
3996,32,left,ee547bfa3e22835a07a43446fbbbc5cc5141d0d1f729a7a74518952dc1d86b72
4011,32,left,db17d0815715c7289bd17a2d74b8cf3445df08cb5f932cb7f0dbea08d74a909a
4023,32,left,f6944121da1d1a8402bbd764853c8ecee9c227b47ca00fb91604fceeebee4282
4054,32,left,22fef3fc60cd09c88a79746818b0c767992fb9c7d492f3f59e0e26ef43230b88
4065,32,left,0a2630020b801c2f20f7e8feb6cc0c6f2454a20fbedc4722a4d34781da9b65c4
4069,32,left,d56d33e5db01d78e40c7988bae8795c8f14f4f554cfd5bfa734cea051cf3a785
4093,32,left,1c4a1e0f7444b5132f76998775fcc99f38f41f3adfda8e649061e6851b58c9f2
4094,32,left,3e411d3c200861f41d669fc3fec1ccb949e14ffa983f40ff7d521614f9ed8b7a
4106,32,left,0c1cde7bf59880ceae6d023a5dbc3ab25309e8f350d37306b7be33f1bb57da0b
4130,32,left,42c157d953e20535fe93859350ca5f97785a71d63bdce6004bd911d0a8a76447
4168,32,left,82372a5da17bb1775f80f5c2f2c448e6387e34ec3e2758b8da396a10ea84592b
4170,32,left,33f57e186b83c89764436e453570155437ad27597e64d95f60607f29139a57c6
4172,32,left,a0beb16f9bdc82806011c2cdf858c5b293ded7b4841edb62ebfe93c0207144b3
4177,32,left,45feef6b5c6fae627effab549e29813bbb0f11b385be18af891d3a0bbe810098
4215,32,left,58781f5f59aaea2670b8d9720fc68fa79deff19a32fc79b52aeda03cdfa45cf9
4229,32,left,f1a6f47826c5f8295dc7791a157fb63c71cc6a10635cba4576d3e95e039ab6eb
4236,32,left,aee6de513b4f91549ac416d68800021139cad6bb28b46f0f4d919f2294a4a189
4242,32,left,cf71a807fdf809aaaca6e9b49f1349c0de1a4eeaa249a008a13464f4d3545212
4254,32,left,1195a92ea6cb372c06da1f96713d85ca1f3c553a0415c833927121b9c33ef26f
4290,32,left,abe6df5669cf5ab2a470c42d67b4c84c614c4e13420f953fedae7d08f6eb9b42
4298,32,left,f3752245113d14e433649c67cd73c5a8af46cdb5efe44456b158096a3f40c3b2
4308,32,left,a310c537682ebc8f70f5a72859cb61a2734d7b011e20d07a94ff310d5993bedd
4311,32,left,e94ea54f02709db9b44965abe3b5d00bd4527b91011d231db052cff3123c1f84
4323,32,left,fbd228dfcd871d49ae958f5eac136a5e6dc3fea0d133de514407294809a850e0
